,CNT,BELONG,BULLIED,LIFESAT,FEELSAFE,STRESAGR,PSYCHSYM,SOCCON,EXPWB,ANXMAT
19,EST,-0.13748266507281537,-0.12847183952509333,,0.22446658827127425,0.12824040447192836,,,,0.013624635587440745
20,FIN,0.10115776003236154,-0.394384309295552,,0.3751167555018931,0.19086705386509534,,,,-0.2893713230943955
21,FRA,-0.026856756877333545,-0.21940101308721174,,-0.06442142485236228,-0.09069804529729565,,,-0.15159337525052755,0.13331878536112407
22,GBR,-0.20917626586370697,-0.000977030590235111,,-0.15699378422483032,-0.15400849183405277,,,,0.039049163429512423
23,GEO,-0.0491376136700256,-0.553037388578938,,-0.2950673095549391,,,,,0.04499517861329844
24,GRC,-0.05972651711016467,-0.25695864676667457,,-0.14256328261310872,-0.1158972320440976,,,,0.26068757483411126
25,GTM,-0.18086965113768327,-0.4959756894719111,,0.011756914303069492,,,,,0.6818802730719377
26,HKG,-0.38775376727287647,-0.48240842963075237,-0.2511308951496546,-0.16745819192946146,-0.06187535921365617,-0.24553972826203782,-0.2653790070050918,0.06658088013599309,0.23140531688483093
27,HRV,0.13308232398251787,-0.49042619580240604,,0.15797767896598147,0.08947173324324925,,,,0.10630248866519702
28,HUN,0.1385881221812933,-0.4207681683009313,-0.012506913768269746,-0.03922733451486285,0.12745410125594275,0.11316551986641735,0.04129380493010176,0.12341502934147969,-0.2066611551184691
29,IDN,-0.13467309002320452,-0.250029820250599,,-0.28474192371886403,,,,,
30,IRL,-0.13205507079470163,-0.29517708644915425,-0.0620366288571529,0.0416610627863071,-0.011439173596046043,0.024691126915453856,-0.0005917867137965196,0.00876542355918207,0.20557499108439162
31,ISL,0.16405403611021052,-0.44745927258546514,,0.0777923765791103,0.16136454767761052,,,,0.0568463431753278
32,ISR,,,,,,,,,
33,ITA,-0.0647208858993723,-0.49066920112796253,,-0.03179478117086363,-0.2189431414435246,,,,0.3941327511246793
34,JAM,-0.3391935967448343,0.08786683315974146,,-0.6351581964673105,,,,,0.47287790760052073
35,JOR,-0.21153230015706045,-0.10420988836517035,,-0.2020825693736293,,,,,0.23388975463586664
36,JPN,0.24595837604595877,-0.7225585841894248,,,,,,,0.3258866199637332
37,KAZ,-0.14292888738838058,-0.49538075914755153,,-0.1862374014999271,,,,,0.1777253189585564
38,KHM,-0.4270006898393434,-0.10140347109730738,,-0.5926498057000327,,,,,0.4964313161981819
39,KOR,0.26251164126913207,-0.9121603478903115,,0.1180041323311135,-0.010493763600427574,,,,-0.054792600676415296
40,KSV,,-0.09084825467198873,,0.009420946718691543,,,,,0.256009002571544
41,LTU,-0.02342418909788948,-0.43428203616410077,,0.11313091802420816,0.024072820494637426,,,,0.18221382107749162
42,LVA,-0.24537477751935416,0.05265306230977182,,0.15422861154990017,-0.019197266469327123,,,,0.23490760144975373
43,MAC,-0.3115368151164352,-0.23950999987205246,-0.3101285675288727,-0.15486462826276357,-0.12289246712563069,-0.1324537792386433,-0.30901665325669586,-0.30253178136371056,0.28061675085327226
44,MAR,-0.2860639334740473,0.17582634198133934,,-0.2942449007842665,,,,,0.4064220633602178
45,MDA,-0.05959782104855741,-0.02391098223544765,,,,,,,0.36256244359651363
46,MEX,-0.18321320726496382,-0.4396606178385603,0.07947580326063244,-0.3487912409977213,,0.013291630315328139,-0.030804572828748534,-0.017524950423804846,0.5446763566893131
47,MKD,0.1200434333519265,-0.4471328550549732,,-0.04651845408290917,,,,,0.16662280642146896
48,MLT,-0.2370230769002816,-0.039062877203417515,,-0.05910758575732904,-0.236782078272651,,,,0.36560762915771866
49,MNE,0.13573132634901436,-0.4036597165022699,,0.1631508629329124,,,,,0.16124520390314015
50,MNG,-0.15041731595743,-0.2921391829643992,,-0.5184218051248262,,,,,0.3241192936635804
51,MYS,-0.27277064930768125,-0.18631109224879144,,-0.3420823819327235,,,,,0.49575239894964435
52,NLD,0.10237876017937664,-0.4971396224694548,0.15445809538776792,0.010248091759999437,0.27130989496926694,-0.12584073071852306,0.19809636581506426,0.12899218360656992,-0.2180649756610752
53,NOR,0.22577003413827654,-0.282376941771636,,0.30305751880370724,,,,,0.1708448093766757
54,NZL,-0.2878446314429587,0.005457744638695436,-0.15307596582018182,-0.2022418442718261,-0.1065860064132954,0.05551828878940306,-0.05048515861488384,-0.02112340061940271,0.22242438931775443
55,PAN,-0.19132542628509674,-0.3913315739131204,0.023577036402466094,0.05541964924865043,,-0.1068491438552567,-0.21430504680595067,0.1164839563194147,0.6101222467607392
56,PER,-0.20245438066862523,-0.3268614545911003,,-0.26118761297461257,,,,,0.531596779850355
57,PHL,-0.37760517791201853,0.5672697631953925,,-0.36600677309472673,,,,,
58,POL,-0.31210981557683715,-0.35296350922928665,,-0.22869030258302755,-0.05060848571392455,,,,0.2575612906237791
59,PRT,0.08436959236315315,-0.5473539816007937,,0.12970130938268618,-0.07627218090904588,,,,0.1403831517514668
60,PRY,-0.24195532680606222,-0.09611436907917047,,-0.049769080198375414,,,,,0.626933781738842
61,PSE,-0.16683105936875064,-0.07178710281773515,,-0.27212076926746825,,,,,0.22351646047515736
62,QAT,-0.15620972359110016,-0.06405640998815182,,0.0842304011707012,,,,,0.18720214019505005
63,QAZ,-0.16620616518816728,-0.3347908939023471,,-0.26977313726970104,,,,,0.1537973278241657
64,QUR,-0.08210783651128227,-0.4799541454240205,,0.10949963446621533,0.25213864695181476,,,,0.1999355371303461
65,ROU,-0.0172624434193148,-0.04720185635580948,,-0.2593681986711317,0.00802118338269514,,,,0.1684783690907221
66,SAU,0.0021375021863119263,-0.5388670879077351,0.6394838224837605,-0.0088651420227225,,-0.057614678332005516,0.37351797834756345,0.28135788811590157,0.10508538784026457
67,SGP,-0.22485453435498354,-0.20990436925798034,,0.17657753533292245,-0.16403034565140662,,,,0.15332263444557842
68,SLV,-0.26903545811084345,-0.06362037264217762,,-0.05400740698225388,,,,,0.5941773795337103
69,SRB,0.1805049386490097,-0.569654653207095,,0.004331082601075266,0.04466398687400187,,,,0.19712591235060029
70,SVK,-0.20072176769533145,-0.29370870858135595,,-0.12784507937319042,-0.0630804211317357,,,,0.24131843997181418
