Country Name,Percentage of gov. spending on education,Internet Usage (%),2024 GDP per capita,Average IQ,Democracy Index,Obesity rate per 100
El Salvador,35.15151515151515,33.87096774193548,40.526315789473685,14.414414414414415,41.72185430463576,58.68263473053892
Equatorial Guinea,,29.56989247311828,45.78947368421053,,5.298013245033113,28.74251497005988
Eritrea,,4.838709677419355,,,7.9470198675496695,11.377245508982035
Estonia,54.54545454545454,80.10752688172043,78.42105263157895,70.72072072072072,83.44370860927152,59.88023952095808
Eswatini,78.18181818181819,27.419354838709676,32.631578947368425,,20.52980132450331,38.32335329341318
Ethiopia,95.75757575757575,,,35.13513513513514,24.834437086092713,1.1976047904191618
Faroe Islands,,,,,,
Fiji,49.09090909090909,48.924731182795696,43.684210526315795,,47.682119205298015,70.65868263473054
Finland,41.81818181818181,83.87096774193549,88.94736842105263,81.98198198198197,97.35099337748345,73.65269461077844
France,16.363636363636363,67.20430107526882,86.31578947368422,87.38738738738738,86.42384105960265,20.35928143712575
French Polynesia,,,,,,
Gabon,59.3939393939394,37.634408602150536,51.578947368421055,0.9009009009009009,27.81456953642384,32.93413173652694
"Gambia, The",82.42424242424242,20.43010752688172,6.315789473684211,,,
Georgia,56.96969696969697,51.075268817204304,55.26315789473685,83.78378378378379,43.70860927152318,54.49101796407185
Germany,30.303030303030305,81.18279569892472,91.05263157894737,72.97297297297297,92.05298013245033,53.293413173652695
Ghana,57.57575757575758,36.02150537634409,23.157894736842106,11.711711711711711,60.9271523178808,24.550898203592812
Gibraltar,12.121212121212121,,,,,
Greece,5.454545454545454,60.215053763440864,74.21052631578947,80.18018018018019,84.43708609271523,59.2814371257485
Greenland,,,,,,
Grenada,21.21212121212121,41.39784946236559,59.473684210526315,,,85.62874251497006
Guam,,,,,,
Guatemala,94.54545454545455,24.731182795698924,42.10526315789473,16.216216216216218,38.41059602649007,47.90419161676647
Guinea,38.78787878787879,9.13978494623656,17.36842105263158,,11.258278145695364,14.37125748502994
Guinea-Bissau,,9.67741935483871,6.842105263157896,,14.23841059602649,17.365269461077844
Guyana,,49.46236559139785,77.36842105263158,,58.27814569536424,73.05389221556887
Haiti,56.36363636363636,,21.052631578947366,,17.218543046357617,62.27544910179641
Honduras,,26.344086021505376,31.05263157894737,12.612612612612612,43.04635761589404,68.8622754491018
"Hong Kong SAR, China",69.6969696969697,89.24731182795699,89.47368421052632,,,
